issue_id,issue_type,priority,description_length,num_comments,time_to_resolve_hours,time_in_progress_hours,lines_added,lines_deleted,lines_updated_est,total_files_changed,num_commits
CALCITE-6740,Bug,Major,7439,6,138.15083333333334,,102,0,0,2,1
CALCITE-6738,New Feature,Minor,280,4,435.6647222222222,,331,30,30,28,1
CALCITE-6737,Bug,Major,1487,2,3.0327777777777776,,42,4,4,4,1
CALCITE-6736,Bug,Minor,407,3,25.70138888888889,,99,9,9,4,1
CALCITE-6735,Bug,Minor,211,3,46.85111111111111,,93,1,1,6,1
CALCITE-6734,Improvement,Minor,834,5,46.02027777777778,,41,8,8,2,1
CALCITE-6733,Bug,Minor,947,2,3.9366666666666665,,34,24,24,6,1
CALCITE-6732,Bug,Minor,177,2,21.509722222222223,21.417981944444445,3,2,2,1,1
CALCITE-6730,Improvement,Major,511,9,410.05944444444447,,345,15,15,16,1
CALCITE-6728,Wish,Major,2190,9,2044.7911111111111,,7208,2204,2204,212,4
CALCITE-6727,Bug,Major,1394,4,382.885,,52,9,9,2,1
CALCITE-6726,Bug,Major,184,2,22.7525,,17,1,1,2,1
CALCITE-6725,Bug,Major,502,2,171.1,,33,1,1,2,1
CALCITE-6724,Improvement,Major,629,2,5.599722222222222,5.595101666666667,145,12,12,3,1
CALCITE-6723,Bug,Minor,419,3,15.411111111111111,,19,23,19,2,1
CALCITE-6721,Bug,Minor,113,2,21.575,,13,1,1,2,1
CALCITE-6720,Improvement,Major,632,2,11.009166666666667,,4,25,4,1,1
CALCITE-6715,Improvement,Major,568,2,157.79055555555556,,277,2,2,5,1
CALCITE-6714,Bug,Major,123,5,164.00583333333333,163.60064972222224,26,2,2,2,1
CALCITE-6713,Bug,Major,103,2,77.55777777777777,,4,5,4,2,1
CALCITE-6712,Bug,Major,309,11,64.38555555555556,,87,43,43,7,1
CALCITE-6711,Bug,Major,660,7,233.5427777777778,,76,71,71,5,1
CALCITE-6709,Bug,Minor,233,3,45.859722222222224,,39,47,39,5,1
CALCITE-6707,Bug,Minor,146,5,11.273888888888889,,11,1,1,3,1
CALCITE-6706,Bug,Major,390,9,59.87777777777778,,30,3,3,2,1
CALCITE-6705,Improvement,Major,616,3,3.0741666666666667,,6,1,1,2,1
CALCITE-6704,Improvement,Major,1045,3,572.2430555555555,215.72654305555557,390,41,41,4,1
CALCITE-6703,Bug,Major,456,2,80.64194444444445,,63,1,1,2,1
CALCITE-6700,Bug,Major,1853,5,645.2080555555556,357.39067777777774,214,2,2,6,1
CALCITE-6699,Bug,Major,459,2,1197.7647222222222,,63,0,0,2,1
CALCITE-6698,Task,Major,749,7,66.62,66.4258,43,0,0,2,1
CALCITE-6691,Bug,Major,3767,11,898.4758333333333,723.427571388889,212,185,185,5,1
CALCITE-6690,New Feature,Major,267,5,939.3936111111111,,544,527,527,7,1
CALCITE-6689,Bug,Major,195,2,15.781944444444445,,39,5,5,5,1
CALCITE-6688,Bug,Major,947,4,537.0177777777777,,45,0,0,4,1
CALCITE-6685,Bug,Major,451,3,330.8122222222222,,631,101,101,29,1
CALCITE-6684,New Feature,Minor,544,2,393.6802777777778,,80,22,22,3,1
CALCITE-6682,Bug,Minor,354,2,1.9358333333333333,,9,3,3,3,1
CALCITE-6680,Bug,Major,368,20,92.06972222222223,,318,39,39,8,1
CALCITE-6678,Improvement,Major,594,7,283.8597222222222,247.18136222222222,205,82,82,10,2
CALCITE-6677,Bug,Critical,681,9,22.718333333333334,,21,7,7,2,1
CALCITE-6676,Bug,Major,621,4,34.135,34.095236666666665,78,4,4,3,1
CALCITE-6674,Improvement,Minor,3578,10,93.28472222222223,93.11258722222223,235,97,97,4,1
CALCITE-6668,Bug,Minor,559,2,127.26472222222222,,135,2,2,4,1
CALCITE-6666,Improvement,Major,1468,2,60.160555555555554,59.87533722222222,158,0,0,9,1
CALCITE-6665,Improvement,Major,295,5,1227.1858333333332,121.34042277777777,50,21,21,6,1
CALCITE-6664,Bug,Minor,1741,4,1332.0872222222222,,47,13,13,4,1
CALCITE-6663,Improvement,Major,489,7,74.48444444444445,,96,0,0,8,1
CALCITE-6662,Task,Minor,602,7,79.9088888888889,,146,17,17,3,1
CALCITE-6655,Bug,Major,1340,2,25.251944444444444,,54,8,8,2,1
CALCITE-6652,Bug,Major,883,9,2879.9183333333335,,975,62,62,6,1
CALCITE-6651,Bug,Major,785,7,205.83444444444444,,108,92,92,9,1
CALCITE-6650,Improvement,Major,1130,7,303.2683333333333,,368,3,3,4,1
CALCITE-6649,Bug,Major,361,4,1394.2966666666666,,131,0,0,3,1
CALCITE-6647,Bug,Blocker,1563,2,507.09277777777777,,76,1,1,3,1
CALCITE-6645,Improvement,Major,2261,13,425.1022222222222,424.90704750000003,94,13,13,9,1
CALCITE-6643,Bug,Major,279,2,16.843888888888888,,18,0,0,2,1
CALCITE-6642,Bug,Major,475,3,54.89666666666667,,69,1,1,3,1
CALCITE-6641,Bug,Minor,965,3,64.57555555555555,,65,10,10,3,1
CALCITE-6640,Bug,Major,1169,17,795.8105555555555,795.80558,21,21,21,2,1
CALCITE-6639,Bug,Minor,2274,5,14.7675,,31,2,2,3,1
CALCITE-6638,Bug,Major,374,3,11.630277777777778,,171,3,3,4,1
CALCITE-6637,Bug,Critical,1280,7,81.85666666666667,,19,1,1,2,1
CALCITE-6635,Improvement,Minor,198,2,170.0511111111111,,351,0,0,2,1
CALCITE-6633,Bug,Major,460,5,30.91027777777778,30.22892861111111,51,0,0,6,3
