issue_id,issue_type,priority,description_length,num_comments,time_to_resolve_hours,time_in_progress_hours,lines_added,lines_deleted,lines_updated_est,total_files_changed,num_commits
IVY-1106,Bug,Major,585,1,21.075,,6,1,1,2,1
IVY-1105,Bug,Major,1092,14,50.86083333333333,,35,1,1,2,2
IVY-1104,Bug,Major,148,17,79135.27222222222,,133,21,21,6,1
IVY-1102,Bug,Major,1530,1,553.1394444444444,,56,13,13,4,1
IVY-1098,Bug,Major,254,1,0.18583333333333332,,93,0,0,4,1
IVY-1097,New Feature,Major,1323,1,0.3347222222222222,,307,32,32,11,1
IVY-1096,Bug,Major,213,9,297.33944444444444,,145,44,44,11,4
IVY-1094,Improvement,Major,768,2,11.933333333333334,,39,33,33,2,1
IVY-1091,Bug,Minor,249,5,513.2944444444445,,7,1,1,3,1
IVY-1087,Bug,Blocker,776,6,582.7380555555555,,64,14,14,7,2
IVY-1085,Improvement,Major,2118,1,842.425,,14,2,2,3,1
IVY-1084,Improvement,Major,89,1,0.5686111111111111,,173,4,4,8,2
IVY-1083,Bug,Major,544,1,0.4825,,224,1,1,11,3
IVY-1079,Bug,Major,493,2,4303.800833333334,,1,0,0,1,1
IVY-1075,Bug,Major,1582,6,274.28194444444443,,2,0,0,2,1
IVY-1074,Improvement,Critical,1333,2,2731.57,,4,2,2,2,1
IVY-1069,Bug,Major,15954,2,1163.806111111111,,7,1,1,2,1
IVY-1066,Bug,Critical,657,4,2.111666666666667,,11,3,3,2,1
IVY-1060,Bug,Major,1120,2,29397.426944444444,,54,5,5,5,1
IVY-1058,Bug,Major,760,4,204.06472222222223,,68,2,2,4,1
IVY-1057,Improvement,Minor,170,1,5717.574166666666,,34,3,3,3,2
IVY-1056,Bug,Trivial,321,1,104.66972222222222,,17,13,13,5,1
IVY-1054,Bug,Trivial,363,1,277.7013888888889,,5,4,4,3,2
IVY-1052,Bug,Trivial,347,2,25972.84361111111,,10,1,1,2,1
IVY-1050,Improvement,Major,667,0,0.09166666666666666,,38,5,5,3,1
IVY-1044,Improvement,Major,639,2,10255.813333333334,,77,12,12,10,2
IVY-1041,Bug,Major,3177,4,25.101944444444445,,70,2,2,5,1
IVY-1038,Improvement,Major,236,0,7.553055555555556,,79,4,4,4,1
IVY-1037,Bug,Major,475,10,69.56333333333333,,108,0,0,6,2
IVY-1036,Bug,Major,2189,11,31859.309166666666,0.026423055555555557,26,1,1,2,1
IVY-1035,Improvement,Critical,266,2,24.935,,26,1,1,5,2
IVY-1030,Improvement,Major,855,2,11945.626944444444,,24,4,4,4,1
IVY-1029,Bug,Major,3192,10,89.45027777777777,,5,5,5,2,2
IVY-1028,Bug,Major,10094,5,2629.6144444444444,,39,40,39,4,2
IVY-1024,Bug,Minor,197,3,2.3652777777777776,,8,4,4,4,2
IVY-1021,Improvement,Critical,423,8,5285.950277777778,,44,0,0,2,1
IVY-1019,Improvement,Major,375,2,12.070555555555556,,44,18,18,3,1
IVY-1017,Improvement,Major,186,1,0.15083333333333335,,13,0,0,3,1
IVY-1015,New Feature,Major,1326,1,19.639166666666668,,9,1,1,2,1
